new_es_symbol,es_symbol,es_name,stage,qa_approved
R072XY109KS,R072XY109KS,Rolling Sands ,Approved,yes
R072XY110KS,R072XY110KS,Choppy Sands ,Approved,yes
R072XY111KS,R072XY111KS,Sandy Plains ,Approved,yes
R072XY112KS,R072XY112KS,Shallow Limy ,Approved,yes
R072XY113KS,R072XY113KS,Gravelly Hills ,Approved,yes
R072XY114KS,R072XY114KS,Loess Breaks ,Approved,yes
R072XY115KS,R072XY115KS,Closed Upland Depression ,Approved,yes
R072XY116KS,R072XY116KS,Salt Flat ,Approved,yes
R072XY117KS,R072XY117KS,Tableland Swale ,Approved,yes
R073XY118KS,R073XY118KS,Blue Shale ,Approved,yes
R034AB150WY,R034AB150WY,Sandy (Green River Basin),Approved,yes
R073XY101KS,R073XY101KS,Limy Slopes ,Approved,yes
R073XY113KS,R073XY113KS,Gravelly Hills ,Approved,yes
R073XY100KS,R073XY100KS,Loamy Plains ,Approved,yes
R073XY103KS,R073XY103KS,Subirrigated ,Approved,yes
R073XY107KS,R073XY107KS,Sandy Floodplain ,Approved,yes
R073XY108KS,R073XY108KS,Loamy Floodplain ,Approved,yes
R073XY119KS,R073XY119KS,Loamy Terrace ,Approved,yes
R073XY111KS,R073XY111KS,Sandy Plains ,Approved,yes
R073XY114KS,R073XY114KS,Loess Hills ,Approved,yes
R073XY115KS,R073XY115KS,Closed Upland Depression ,Approved,yes
R073XY112KS,R073XY112KS,Shallow Limy ,Approved,yes
R073XY120KS,R073XY120KS,Clay Terrace ,Approved,yes
R079XY122KS,R079XY122KS,Sandy Loam ,Approved,yes
R079XY133KS,R079XY133KS,Wet Subirrigated ,Approved,yes
R079XY120KS,R079XY120KS,Saline Subirrigated ,Approved,yes
R079XY132KS,R079XY132KS,Subirrigated ,Approved,yes
R079XY123KS,R079XY123KS,Sand Floodplain ,Approved,yes
R079XY113KS,R079XY113KS,Loamy Floodplain ,Approved,yes
R079XY103KS,R079XY103KS,Choppy Sands ,Approved,yes
R079XY121KS,R079XY121KS,Sand Plains ,Approved,yes
R079XY180KS,R079XY180KS,Shallow Red Plains ,Approved,yes
R079XY105KS,R079XY105KS,Sodic Plains ,Approved,yes
R079XY107KS,R079XY107KS,Clayey Plains ,Approved,yes
R079XY112KS,R079XY112KS,Limy Plains ,Approved,yes
R079XY115KS,R079XY115KS,Loamy Plains ,Approved,yes
EX043B05C113,R043BX113WY,Granitic Loamy Bighorn Mountains Sub-alpine Zone,Approved,yes
EX043B05C122,R043BX122WY,Loamy Bighorn Mountains Sub-alpine Zone,Approved,yes
EX043B23A122,R032XL122WY,Loamy Absaroka Lower Foothills,Approved,yes
R042XH001NM,R042XH001NM,Very Shallow ,Correlated,yes
R042XH002NM,R042XH002NM,Limestone Hills ,Correlated,yes
R042XH003NM,R042XH003NM,Shallow ,Correlated,yes
R042XH004NM,R042XH004NM,Gravelly ,Correlated,yes
R042XH005NM,R042XH005NM,Loamy Terrace ,Correlated,yes
R042XH006NM,R042XH006NM,Limy Gyp Escarpment ,Correlated,yes
R042XH007NM,R042XH007NM,Draw ,Correlated,yes
R042XI001NM,R042XI001NM,Shallow Limestone ,Correlated,yes
R042XI002NM,R042XI002NM,Limestone Mountains ,Correlated,yes
R153AY001GA,R153AY001GA,"Loamy Rise, Moderately Wet",Correlated,yes
F002XN901WA,F002XN901WA,Douglas-fir - Pacific madrone/oceanspray/rattlesnake plantain ,Provisional,yes
F002XN902WA,F002XN902WA,Western hemlock - Douglas-fir/Cascade Oregongrape ,Provisional,yes
F002XN903WA,F002XN903WA,Western redcedar - Douglas-fir/salal/swordfern ,Provisional,yes
F002XN904WA,F002XN904WA,Sitka spruce - red alder/salmonberry/field horsetail ,Provisional,yes
